Throttle ,Thrust (g),Torque (N*n),Current (A),RPM,Power (W),Efficiency (g/w),Voltage
40%,2357,0.71,4.25,1978,206,11.45,48
42%,2613,0.78,4.91,2095,238,10.97,48
44%,2882,0.85,5.62,2214,272,10.58,48
46%,3127,0.93,6.33,2312,307,10.19,48
48%,3359,0.98,6.99,2401,338,9.92,48
50%,3595,1.09,7.71,2513,374,9.61,48
52%,3833,1.15,8.47,2608,411,9.33,48
54%,4134,1.25,9.41,2715,456,9.06,48
56%,4422,1.31,10.35,2818,502,8.81,48
58%,4769,1.42,11.26,2914,546,8.56,48
60%,4931,1.49,12.39,3023,601,8.21,48
62%,5361,1.62,13.69,3123,664,8.07,48
64%,5683,1.72,14.97,3245,727,7.82,48
66%,6077,1.81,16.23,3344,787,7.71,48
68%,6340,1.92,17.61,3440,855,7.42,48
70%,6692,2,18.88,3539,916,7.3,48
75%,7503,2.28,22.66,3768,1100,6.82,48
80%,8475,2.58,26.98,3988,1310,6.47,48
90%,10172,3.14,36.82,4425,1788,5.68,48
100%,12114,3.78,48.83,4818,2370,5.11,48
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
